timestamp,strikePrice,Theo ES,Rank,Greek,Value
2025-02-11 10:19:45,5995,5997.0,Call DEX 4,DEX,0.946
2025-02-11 10:19:45,6000,6002.0,Call DEX 1,DEX,3.035
2025-02-11 10:19:45,6000,6002.0,Put GEX 4,GEX,-48811.589
2025-02-11 10:19:45,6000,6002.0,Call VEX 3,VEX,0.036
2025-02-11 10:19:45,6010,6012.0,Call DEX 2,DEX,1.151
2025-02-11 10:19:45,6020,6022.0,Call DEX 3,DEX,1.083
2025-02-11 10:19:45,6025,6027.0,Put GEX 2,GEX,-100779.918
2025-02-11 10:19:45,6025,6027.0,Call VEX 2,VEX,0.045
2025-02-11 10:19:45,6030,6032.0,Put GEX 1,GEX,-127763.78
2025-02-11 10:19:45,6030,6032.0,Call VEX 1,VEX,0.046
2025-02-11 10:19:45,6035,6037.0,Put GEX 5,GEX,-45400.703
2025-02-11 10:19:45,6035,6037.0,Call VEX 4,VEX,0.017
2025-02-11 10:19:45,6040,6042.0,Call DEX 5,DEX,0.792
2025-02-11 10:19:45,6040,6042.0,Call VEX 5,VEX,0.017
2025-02-11 10:19:45,6050,6052.0,Put GEX 3,GEX,-49831.025
2025-02-11 10:19:45,6065,6067.0,Put DEX 1,DEX,-4.026
2025-02-11 10:19:45,6065,6067.0,Put VEX 2,VEX,-0.019
2025-02-11 10:19:45,6070,6072.0,Put DEX 3,DEX,-3.255
2025-02-11 10:19:45,6070,6072.0,Call GEX 1,GEX,37252.577
2025-02-11 10:19:45,6070,6072.0,Put VEX 1,VEX,-0.027
2025-02-11 10:19:45,6075,6077.0,Call GEX 3,GEX,32593.957
2025-02-11 10:19:45,6075,6077.0,Put VEX 3,VEX,-0.018
2025-02-11 10:19:45,6090,6092.0,Call GEX 5,GEX,20142.843
2025-02-11 10:19:45,6095,6097.0,Call GEX 2,GEX,36121.812
2025-02-11 10:19:45,6095,6097.0,Put VEX 4,VEX,-0.018
2025-02-11 10:19:45,6100,6102.0,Put DEX 5,DEX,-2.629
2025-02-11 10:19:45,6100,6102.0,Call GEX 4,GEX,22977.775
2025-02-11 10:19:45,6100,6102.0,Put VEX 5,VEX,-0.016
2025-02-11 10:19:45,6130,6132.0,Put DEX 4,DEX,-3.192
2025-02-11 10:19:45,6140,6142.0,Put DEX 2,DEX,-3.837
2025-02-11 10:21:00,5995,5997.0,Call DEX 4,DEX,0.97
2025-02-11 10:21:00,6000,6002.0,Call DEX 1,DEX,3.082
2025-02-11 10:21:00,6000,6002.0,Put GEX 4,GEX,-46944.969
2025-02-11 10:21:00,6000,6002.0,Call VEX 3,VEX,0.035
2025-02-11 10:21:00,6010,6012.0,Call DEX 2,DEX,1.181
2025-02-11 10:21:00,6020,6022.0,Call DEX 3,DEX,1.126
2025-02-11 10:21:00,6025,6027.25,Put GEX 2,GEX,-99960.686
2025-02-11 10:21:00,6025,6027.25,Call VEX 2,VEX,0.044
2025-02-11 10:21:00,6030,6032.25,Put GEX 1,GEX,-126437.963
