timestamp,strikePrice,Theo ES,Rank,Greek,Value,cum_gam,cum_vec
2025-05-05 12:56:54,5000.0,5019.25,Call CEX 1,CEX,241923.491,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5000.0,5019.25,Put GEX 3,GEX,-48864.873,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5000.0,5019.25,Call VEX 1,VEX,336715.854,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5200.0,5220.0,Call CEX 5,CEX,146556.919,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5200.0,5220.0,Call VEX 5,VEX,206644.266,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5270.0,5290.25,Call DEX 4,DEX,43.384,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5300.0,5320.25,Call CEX 2,CEX,201270.862,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5300.0,5320.25,Call DEX 1,DEX,74.736,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5300.0,5320.25,Call VEX 3,VEX,285143.869,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5400.0,5420.75,Call CEX 4,CEX,187659.115,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5400.0,5420.75,Call DEX 5,DEX,41.448,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5400.0,5420.75,Call VEX 4,VEX,273233.389,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5500.0,5521.0,Call CEX 3,CEX,189328.043,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5500.0,5521.0,Put GEX 5,GEX,-41015.712,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5500.0,5521.0,Call VEX 2,VEX,291343.705,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5600.0,5621.5,Call DEX 2,DEX,58.935,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5600.0,5621.5,Call GEX 2,GEX,62358.635,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5650.0,5671.75,Call DEX 3,DEX,44.93,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5650.0,5671.75,Call GEX 1,GEX,103657.905,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5700.0,5721.75,Put CEX 4,CEX,-162483.251,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5700.0,5721.75,Put DEX 5,DEX,-26.761,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5750.0,5772.0,Call GEX 5,GEX,31123.906,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5800.0,5822.25,Put CEX 2,CEX,-402884.864,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5800.0,5822.25,Put DEX 2,DEX,-135.819,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5800.0,5822.25,Put GEX 1,GEX,-67998.8,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5800.0,5822.25,Put VEX 2,VEX,-467063.909,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5825.0,5847.25,Put CEX 3,CEX,-171234.551,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5825.0,5847.25,Put DEX 3,DEX,-83.266,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5825.0,5847.25,Put GEX 2,GEX,-60972.693,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5825.0,5847.25,Put VEX 3,VEX,-205515.895,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5850.0,5872.5,Call GEX 3,GEX,49044.948,7074.7048620302,7074.7048620302
2025-05-05 12:56:54,5850.0,5872.5,Put VEX 5,VEX,-167126.159,7074.7048620302,7074.7048620302
