timestamp,strikePrice,Theo ES,Rank,Greek,Value,cum_gam,cum_vec
2025-06-05 08:31:19,200.0,200.25,Call CEX 2,CEX,0.0,,8400.0
2025-06-05 08:31:19,200.0,200.25,Call VEX 2,VEX,0.0,,8400.0
2025-06-05 08:31:19,400.0,400.5,Call CEX 3,CEX,0.0,,8400.0
2025-06-05 08:31:19,400.0,400.5,Call VEX 3,VEX,0.0,,8400.0
2025-06-05 08:31:19,600.0,601.0,Call CEX 4,CEX,0.0,,8400.0
2025-06-05 08:31:19,600.0,601.0,Call VEX 4,VEX,0.0,,8400.0
2025-06-05 08:31:19,4700.0,4707.0,Put DEX 3,DEX,-137.378,,8400.0
2025-06-05 08:31:19,4700.0,4707.0,Put GEX 3,GEX,-34252.778,,8400.0
2025-06-05 08:31:19,4750.0,4757.0,Put DEX 1,DEX,-246.52,,8400.0
2025-06-05 08:31:19,4750.0,4757.0,Put GEX 1,GEX,-63445.23,,8400.0
2025-06-05 08:31:19,4800.0,4807.0,Put DEX 2,DEX,-159.596,,8400.0
2025-06-05 08:31:19,4800.0,4807.0,Put GEX 2,GEX,-42853.156,,8400.0
2025-06-05 08:31:19,4950.0,4957.25,Put DEX 4,DEX,-46.44,,8400.0
2025-06-05 08:31:19,5000.0,5007.25,Call DEX 4,DEX,47.124,,8400.0
2025-06-05 08:31:19,5000.0,5007.25,Put GEX 4,GEX,-25525.913,,8400.0
2025-06-05 08:31:19,5100.0,5107.5,Put DEX 5,DEX,-41.309,,8400.0
2025-06-05 08:31:19,5750.0,5758.5,Put GEX 5,GEX,-23662.097,,8400.0
2025-06-05 08:31:19,6000.0,6008.75,Call DEX 5,DEX,38.874,,8400.0
2025-06-05 08:31:19,6100.0,6109.0,Call DEX 3,DEX,48.409,,8400.0
2025-06-05 08:31:19,6100.0,6109.0,Call GEX 3,GEX,56399.32,,8400.0
2025-06-05 08:31:19,6150.0,6159.0,Call GEX 5,GEX,42811.335,,8400.0
2025-06-05 08:31:19,6200.0,6209.25,Call GEX 4,GEX,44394.191,,8400.0
2025-06-05 08:31:19,6300.0,6309.25,Call DEX 2,DEX,52.566,,8400.0
2025-06-05 08:31:19,6300.0,6309.25,Call GEX 2,GEX,57657.005,,8400.0
2025-06-05 08:31:19,6500.0,6509.5,Call DEX 1,DEX,74.508,,8400.0
2025-06-05 08:31:19,6500.0,6509.5,Call GEX 1,GEX,58249.294,,8400.0
2025-06-05 08:31:19,7500.0,7511.0,Call CEX 5,CEX,0.0,,8400.0
2025-06-05 08:31:19,7500.0,7511.0,Call VEX 5,VEX,0.0,,8400.0
2025-06-05 08:31:19,9000.0,9013.25,Put CEX 5,CEX,0.0,,8400.0
2025-06-05 08:31:19,9000.0,9013.25,Put VEX 5,VEX,0.0,,8400.0
2025-06-05 08:31:19,9200.0,9213.5,Put CEX 4,CEX,0.0,,8400.0
2025-06-05 08:31:19,9200.0,9213.5,Put VEX 4,VEX,0.0,,8400.0
2025-06-05 08:31:19,9400.0,9413.75,Put CEX 3,CEX,0.0,,8400.0
2025-06-05 08:31:19,9400.0,9413.75,Put VEX 3,VEX,0.0,,8400.0
2025-06-05 08:31:19,9600.0,9614.25,Put CEX 2,CEX,0.0,,8400.0
2025-06-05 08:31:19,9600.0,9614.25,Put VEX 2,VEX,0.0,,8400.0
2025-06-05 08:31:19,10000.0,10014.75,Put CEX 1,CEX,0.0,,8400.0
2025-06-05 08:31:19,10000.0,10014.75,Put VEX 1,VEX,0.0,,8400.0
2025-06-05 08:31:19,12000.0,12017.75,Call CEX 1,CEX,0.0,,8400.0
2025-06-05 08:31:19,12000.0,12017.75,Call VEX 1,VEX,0.0,,8400.0
2025-06-05 08:32:43,200.0,200.25,Call CEX 2,CEX,0.0,,8400.0
2025-06-05 08:32:43,200.0,200.25,Call VEX 2,VEX,0.0,,8400.0
2025-06-05 08:32:43,400.0,400.5,Call CEX 3,CEX,0.0,,8400.0
2025-06-05 08:32:43,400.0,400.5,Call VEX 3,VEX,0.0,,8400.0
2025-06-05 08:32:43,600.0,601.0,Call CEX 4,CEX,0.0,,8400.0
2025-06-05 08:32:43,600.0,601.0,Call VEX 4,VEX,0.0,,8400.0
2025-06-05 08:32:43,4750.0,4757.0,Put DEX 1,DEX,-246.991,,8400.0
2025-06-05 08:32:43,4750.0,4757.0,Put GEX 1,GEX,-62399.139,,8400.0
2025-06-05 08:32:43,4800.0,4807.0,Put DEX 2,DEX,-159.886,,8400.0
